State_UT,State_UT_Code,Fiscal Year,Estimate,Per Capita Expenditure on Health Sector ,Total Health Sector Expenditure,Total Health Sector Expenditure as % of State Budget,Revenue Expenditure as % of Total Health Sector Expenditure,Capital Expenditure (including Loans & Advances ) as % of Total Health Sector Expenditure,,,,,,,,,,,,
Andhra Pradesh,1,2016-17,Actuals,1255,6456,3.9,93.8,6.2,,,,,,,,,,,,
Andhra Pradesh,1,2017-18,Budget Estimates,1396,7223,4.6,93.8,6.2,,,,,,,,,,,,
Andhra Pradesh,1,2017-18,Revised Estimates,1319,6827,4.3,95.9,4.1,,,,,,,,,,,,
Andhra Pradesh,1,2017-18,Actuals,1248,6457,4.4,96.9,3.1,,,,,,,,,,,,
Andhra Pradesh,1,2018-19,Budget Estimates,1686,8775,4.6,94.6,5.4,,,,,,,,,,,,
Andhra Pradesh,1,2018-19,Revised Estimates,1430,7440,4.6,97.7,2.3,,,,,,,,,,,,
Andhra Pradesh,1,2018-19,Actuals,1430,7442,4.5,97.6,2.4,,,,,,,,,,,,
Andhra Pradesh,1,2019-20,Budget Estimates,2223,11628,5.1,78.9,21.1,,,,,,,,,,,,
Andhra Pradesh,1,2019-20,Revised Estimates,1468,7682,4.4,96.7,3.3,,,,,,,,,,,,
Andhra Pradesh,1,2019-20,Actuals,1458,7630,4.4,97.3,2.7,,,,,,,,,,,,
Andhra Pradesh,1,2020-21,Budget Estimates,2222,11688,5.2,81.5,18.5,,,,,,,,,,,,
Andhra Pradesh,1,2020-21,Revised Estimates,1827,9609,5.2,93.9,6.1,,,,,,,,,,,,
Andhra Pradesh,1,2020-21,Actuals,1816,9550,5.1,94.4,5.6,,,,,,,,,,,,
Andhra Pradesh,1,2021-22,Budget Estimates,2669,14103,6.1,82.5,17.5,,,,,,,,,,,,
Andhra Pradesh,1,2021-22,Revised Estimates,2641,13957,6.7,93.1,6.9,,,,,,,,,,,,
Andhra Pradesh,1,2022-23,Budget Estimates,2973,15725,6.1,76.3,23.7,,,,,,,,,,,,
Arunachal Pradesh,2,2016-17,Actuals,,,,,,,,,,,,,,,,,
Arunachal Pradesh,2,2017-18,Budget Estimates,,,,,,,,,,,,,,,,,
Arunachal Pradesh,2,2017-18,Revised Estimates,,,,,,,,,,,,,,,,,
Arunachal Pradesh,2,2017-18,Actuals,6345,935,6.4,95.5,4.5,,,,,,,,,,,,
Arunachal Pradesh,2,2018-19,Budget Estimates,7887,1174,6.3,63.4,36.6,,,,,,,,,,,,
Arunachal Pradesh,2,2018-19,Revised Estimates,9582,1427,6.7,92.2,7.8,,,,,,,,,,,,
Arunachal Pradesh,2,2018-19,Actuals,7506,1118,6.1,94.9,5.1,,,,,,,,,,,,
Arunachal Pradesh,2,2019-20,Budget Estimates,9904,1490,6.8,88.6,11.4,,,,,,,,,,,,
Arunachal Pradesh,2,2019-20,Revised Estimates,6682,1005,5.6,93.0,7.0,,,,,,,,,,,,
Arunachal Pradesh,2,2019-20,Actuals,6672,1003,6.2,94.1,5.9,,,,,,,,,,,,
Arunachal Pradesh,2,2020-21,Budget Estimates,6573,998,4.6,94.9,5.1,,,,,,,,,,,,
Arunachal Pradesh,2,2020-21,Revised Estimates,6643,1009,4.8,98.6,1.4,,,,,,,,,,,,
Arunachal Pradesh,2,2020-21,Actuals,6069,940,5.0,98.9,1.1,,,,,,,,,,,,
Arunachal Pradesh,2,2021-22,Budget Estimates,7339,1125,5.0,98.9,1.1,,,,,,,,,,,,
Arunachal Pradesh,2,2021-22,Revised Estimates,9179,1407,5.5,97.8,2.2,,,,,,,,,,,,
Arunachal Pradesh,2,2022-23,Budget Estimates,8315,1287,5.0,91.5,8.5,,,,,,,,,,,,
Assam,3,2016-17,Actuals,962,3203,5.6,98.9,1.1,,,,,,,,,,,,
Assam,3,2017-18,Budget Estimates,1456,4901,5.7,90.7,9.3,,,,,,,,,,,,
Assam,3,2017-18,Revised Estimates,1699,5719,5.8,91.3,8.7,,,,,,,,,,,,
Assam,3,2017-18,Actuals,1321,4449,6.8,94.8,5.2,,,,,,,,,,,,
Assam,3,2018-19,Budget Estimates,1583,5388,6.0,88.7,11.3,,,,,,,,,,,,
Assam,3,2018-19,Revised Estimates,2135,7268,6.7,88.6,11.4,,,,,,,,,,,,
Assam,3,2018-19,Actuals,1366,4650,6.5,91.6,8.4,,,,,,,,,,,,
Assam,3,2019-20,Budget Estimates,2052,7061,7.1,90.7,9.3,,,,,,,,,,,,
Assam,3,2019-20,Revised Estimates,2237,7698,6.4,88.7,11.3,,,,,,,,,,,,
Assam,3,2019-20,Actuals,1552,5343,6.5,90.9,9.1,,,,,,,,,,,,
Assam,3,2020-21,Budget Estimates,1870,6505,6.3,88.4,11.6,,,,,,,,,,,,
